2.850000000000000000e+02,1.185000000000000000e+03
5.830000000000000000e+02,1.387000000000000000e+03
4.780000000000000000e+02,1.225000000000000000e+03
4.000000000000000000e+02,1.309000000000000000e+03
4.000000000000000000e+00,9.820000000000000000e+02
1.180000000000000000e+02,9.350000000000000000e+02
1.730000000000000000e+02,1.193000000000000000e+03
2.290000000000000000e+02,1.254000000000000000e+03
9.600000000000000000e+01,1.069000000000000000e+03
3.480000000000000000e+02,1.340000000000000000e+03
5.300000000000000000e+02,1.363000000000000000e+03
3.310000000000000000e+02,1.262000000000000000e+03
3.140000000000000000e+02,1.175000000000000000e+03
